0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,target,answer,correct_answer,score,target_as
65.0,100.0,97.0,109.0,32.0,83.0,97.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,0.0,Adam Sandler,Adam Sandler,1.0,1.0
65.0,100.0,97.0,109.0,32.0,83.0,97.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,0.0,Adam Sandler,Adam Sandler,1.0,1.0
65.0,100.0,97.0,109.0,32.0,83.0,97.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,0.0,Adam Sandler,Adam Sandler,1.0,1.0
65.0,100.0,97.0,109.0,32.0,83.0,97.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,0.0,Adam Sandler,Adam Sandler,1.0,1.0
65.0,100.0,97.0,109.0,32.0,83.0,97.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,0.0,Adam Sandler,Adam Sandler,1.0,1.0
65.0,100.0,97.0,109.0,32.0,83.0,97.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,0.0,Adam Sandler,Adam Sandler,1.0,1.0
65.0,100.0,97.0,109.0,32.0,83.0,97.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,0.0,Adam Sandler,Adam Sandler,1.0,1.0
65.0,100.0,97.0,109.0,32.0,83.0,97.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,0.0,Adam Sandler,Adam Sandler,1.0,1.0
65.0,100.0,97.0,109.0,32.0,83.0,97.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,0.0,Adam Sandler ,Adam Sandler,1.0,1.0
65.0,97.0,32.0,83.0,97.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,91.0,0.0,Aa Sandler,Adam Sandler,0.91,1.0
65.0,97.0,97.0,109.0,32.0,83.0,97.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,92.0,0.0,Aaam Sandler,Adam Sandler,0.92,1.0
65.0,97.0,99.0,109.0,32.0,83.0,97.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,92.0,0.0,Aacm Sandler,Adam Sandler,0.92,1.0
65.0,97.0,100.0,97.0,32.0,83.0,97.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,92.0,0.0,Aada Sandler,Adam Sandler,0.92,1.0
65.0,97.0,100.0,97.0,109.0,32.0,83.0,97.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,92.0,0.0,Aadam Sadler,Adam Sandler,0.92,1.0
65.0,97.0,100.0,97.0,109.0,32.0,83.0,97.0,102.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,92.0,0.0,Aadam Safndler,Adam Sandler,0.92,1.0
65.0,97.0,100.0,97.0,109.0,32.0,83.0,97.0,106.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,92.0,0.0,Aadam Sajndler,Adam Sandler,0.92,1.0
65.0,97.0,100.0,97.0,109.0,32.0,83.0,97.0,108.0,110.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,92.0,0.0,Aadam Salndler,Adam Sandler,0.92,1.0
65.0,97.0,100.0,97.0,109.0,32.0,83.0,97.0,110.0,99.0,100.0,108.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,92.0,0.0,Aadam Sancdler,Adam Sandler,0.92,1.0
65.0,97.0,100.0,97.0,109.0,32.0,83.0,97.0,110.0,100.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,92.0,0.0,Aadam Sander,Adam Sandler,0.92,1.0
65.0,97.0,100.0,97.0,109.0,32.0,83.0,97.0,110.0,100.0,108.0,101.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,92.0,0.0,Aadam Sandle,Adam Sandler,0.92,1.0
65.0,97.0,100.0,97.0,109.0,32.0,83.0,97.0,110.0,100.0,108.0,101.0,106.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,92.0,0.0,Aadam Sandlejr,Adam Sandler,0.92,1.0
