0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,target,answer,correct_answer,score,target_as
77.0,97.0,108.0,99.0,111.0,108.0,109.0,32.0,109.0,97.0,99.0,100.0,111.0,119.0,101.0,108.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,93.8,207.0,Malcolm macdowel,Malcolm McDowell,0.938,0.0
68.0,97.0,118.0,105.0,100.0,32.0,115.0,99.0,104.0,119.0,105.0,109.0,109.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,70.0,David schwimmer,David Schwimmer,1.0,0.0
77.0,97.0,116.0,116.0,104.0,101.0,119.0,32.0,98.0,114.0,111.0,100.0,101.0,114.0,105.0,99.0,107.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,217.0,Matthew broderick,Matthew Broderick,1.0,0.0
74.0,111.0,104.0,110.0,32.0,99.0,32.0,82.0,105.0,101.0,108.0,121.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,91.7,160.0,John c Riely,John C. Reilly,0.917,0.0
80.0,101.0,110.0,101.0,108.0,111.0,112.0,105.0,32.0,67.0,114.0,117.0,122.0,101.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,95.0,247.0,Penelopi Cruze,Penelope Cruz,0.95,0.0
82.0,121.0,97.0,110.0,32.0,82.0,101.0,121.0,110.0,111.0,108.0,100.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,274.0,Ryan Reynolds,Ryan Reynolds,1.0,0.0
66.0,97.0,114.0,98.0,97.0,114.0,97.0,32.0,104.0,101.0,114.0,115.0,104.0,101.0,121.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,22.0,Barbara hershey,Barbara Hershey,1.0,0.0
74.0,101.0,110.0,110.0,105.0,102.0,101.0,114.0,32.0,106.0,97.0,115.0,111.0,110.0,32.0,76.0,101.0,101.0,32.0,32.0,32.0,32.0,32.0,32.0,94.3,145.0,Jennifer jason Lee,Jennifer Jason Leigh,0.943,0.0
74.0,97.0,109.0,105.0,101.0,32.0,76.0,101.0,101.0,32.0,99.0,117.0,114.0,116.0,105.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,135.0,Jamie Lee curtis,Jamie Lee Curtis,1.0,0.0
74.0,101.0,102.0,102.0,32.0,98.0,114.0,105.0,100.0,103.0,101.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,139.0,Jeff bridges,Jeff Bridges,1.0,0.0
82.0,101.0,110.0,101.0,101.0,32.0,122.0,101.0,108.0,119.0,105.0,103.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,91.5,258.0,Renee zelwiger,Renee Zellweger,0.915,0.0
77.0,105.0,107.0,101.0,32.0,77.0,121.0,101.0,114.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,228.0,Mike Myers,Mike Myers,1.0,0.0
77.0,101.0,108.0,32.0,71.0,105.0,98.0,115.0,111.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,219.0,Mel Gibson,Mel Gibson,1.0,0.0
65.0,110.0,101.0,116.0,116.0,101.0,32.0,66.0,101.0,110.0,110.0,105.0,110.0,103.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,93.7,17.0,Anette Benning,Annette Bening,0.937,0.0
82.0,111.0,98.0,101.0,114.0,116.0,32.0,82.0,101.0,100.0,102.0,111.0,101.0,100.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,99.3,266.0,Robert Redfoed,Robert Redford,0.993,0.0
65.0,108.0,98.0,101.0,114.0,116.0,32.0,70.0,105.0,110.0,110.0,101.0,121.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,7.0,Albert Finney,Albert Finney,1.0,0.0
83.0,116.0,101.0,118.0,101.0,32.0,66.0,117.0,115.0,99.0,104.0,101.0,109.0,105.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,99.3,291.0,Steve Buschemi,Steve Buscemi,0.993,0.0
75.0,101.0,118.0,105.0,110.0,32.0,67.0,111.0,115.0,116.0,110.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,188.0,Kevin Costner,Kevin Costner,1.0,0.0
