index,answer,correct_answer,score,correct
1,,Jane Fonda,0,FALSE
2,Malcolm macdowel,Malcolm McDowell,0.938,TRUE
3,David schwimmer,David Schwimmer,1,TRUE
4,George Lopez,John Leguizamo,0.552,FALSE
5,Matthew broderick,Matthew Broderick,1,TRUE
6,John c Riely,John C. Reilly,0.917,TRUE
7,Penelopi Cruze,Penelope Cruz,0.95,TRUE
8,Ryan Reynolds,Ryan Reynolds,1,TRUE
9,Barbara hershey,Barbara Hershey,1,TRUE
10,Jennifer jason Lee,Jennifer Jason Leigh,0.943,TRUE
11,Jamie Lee curtis,Jamie Lee Curtis,1,TRUE
12,Jeff bridges,Jeff Bridges,1,TRUE
13,Renee zelwiger,Renee Zellweger,0.915,TRUE
14,Dan android,Dan Aykroyd,0.815,FALSE
15,Mike Myers,Mike Myers,1,TRUE
16,Mel Gibson,Mel Gibson,1,TRUE
17,Anette Benning,Annette Bening,0.937,TRUE
18,Robert Redfoed,Robert Redford,0.993,TRUE
19,Jowakine pheonix,Joaquin Phoenix,0.82,FALSE
20,Albert Finney,Albert Finney,1,TRUE
21,Steve Buschemi,Steve Buscemi,0.993,TRUE
22,Kevin Costner,Kevin Costner,1,TRUE
23,Ryan Gosling,Ryan Gosling,1,TRUE
24,Stanley Tucci,Stanley Tucci,1,TRUE
25,Sally Fields,Sally Fields,1,TRUE
26,Liev Schreiber,Liev Schreiber,1,TRUE
27,Tom Arnold,Tom Arnold,1,TRUE
28,Richard Guere,Richard Gere,0.992,TRUE
29,Jim Carry,Jim Carrey,0.993,TRUE
30,Orlando Bloome,Orlando Bloom,0.998,TRUE
31,Bill Murray,Bill Murray,1,TRUE
32,Kierra Knightly,Keira Knightley,0.936,TRUE
33,John Travolta,John Travolta,1,TRUE
34,Peter O'toole,Peter O'toole,1,TRUE
35,Kenneth Branaugh,Kenneth Branagh,0.996,TRUE
36,Morgan Freeman,Morgan Freeman,1,TRUE
37,Rickey Jervais,Ricky Gervais,0.928,TRUE
38,Jamie Foxx,Jamie Foxx,1,TRUE
39,Daniel Craig,Daniel Craig,1,TRUE
40,Orlando Bloome,Orlando Bloom,0.998,TRUE
41,Julia Roberts,Julia Roberts,1,TRUE
42,Chalize Theron,Charlize Theron,0.982,TRUE
43,Danny Devito,Danny DeVito,1,TRUE
44,Jenifer Aniston,Jennifer Aniston,0.875,TRUE
45,John Travolta,John Travolta,1,TRUE
46,Vince Vaughn,Vince Vaughn,1,TRUE
47,Laura Dern,Laura Dern,1,TRUE
48,Kristen Scott Thomas,Kristin Scott Thomas,0.975,TRUE
49,Peter O'tolle,Peter O'toole,0.988,TRUE
50,Dan Ackeroid,Dan Aykroyd,0.916,TRUE
51,Paul Rudd,Seth Rogen,0.474,FALSE
52,Frank Langella,Frank Langella,1,TRUE
53,Blair Underwood,Blair Underwood,1,TRUE
54,Brad Pitt,Brad Pitt,1,TRUE
55,Colin Firth,Colin Firth,1,TRUE
56,Christian Slater,Christian Slater,1,TRUE
57,Drew Barrymore,Drew Barrymore,1,TRUE
58,Caterine Zeta Jones,Catherine Zeta-Jones,0.957,TRUE
59,Sam Shepard,Sam Shepard,1,TRUE
60,Brook Shields,Brooke Shields,0.952,TRUE
61,Daniel Radcilffe,Daniel Radcliffe,0.993,TRUE
62,Toby McGuire,Tobey Maguire,0.898,TRUE
63,Alec Baldwin,Alec Baldwin,1,TRUE
64,Tia Leoni,Tea Leoni,0.933,TRUE
65,Mary Louise Parker,Mary-Louise Parker,0.925,TRUE
66,James Gandolfini,James Gandolfini,1,TRUE
67,Candice Began,Candice Bergen,0.979,TRUE
68,Forest Wittiker,Forest Whitaker,0.959,TRUE
69,Kevin James,Kevin James,1,TRUE
70,Bridgette Fonda,Bridget Fonda,0.976,TRUE
71,Al Pacino,Al Pacino,1,TRUE
72,Steve Martin,Steve Martin,1,TRUE
73,Anthony Quinn,Anthony Quinn,1,TRUE
74,Kirsten Dunst,Kirsten Dunst,1,TRUE
75,Anna Paquine,Anna Paquin,0.998,TRUE
76,Alan Alda,Alan Alda,1,TRUE
77,Ben Stiller,Ben Stiller,1,TRUE
78,Christoph Waltz,Christoph Waltz,1,TRUE
79,Jason Bateman,Jason Bateman,1,TRUE
80,Timmothy Dalton,Timothy Dalton,0.982,TRUE
81,Jonah Hill,Jonah Hill,1,TRUE
82,Meryl Streep,Meryl Streep,1,TRUE
83,Kathy Bates,Kathy Bates,1,TRUE
84,Kathleen Turner,Kathleen Turner,1,TRUE
85,Alan Rickman,Alan Rickman,1,TRUE
86,Minnie Driver,Minnie Driver,1,TRUE
87,Kyle McGlaughlan,Kyle MacLachlan,0.889,TRUE
88,Paul Newman,Paul Newman,1,TRUE
89,Dennis Leary,Denis Leary,0.979,TRUE
90,Jeremy Irons,Jeremy Irons,1,TRUE
91,Jennifer Aniston,Jennifer Aniston,1,TRUE
92,Darryl Hannah,Daryl Hannah,0.98,TRUE
93,Chris Rock,Chris Rock,1,TRUE
94,Eva Mendes,Eva Mendes,1,TRUE
95,Vince Vaughn,Vince Vaughn,1,TRUE
96,Don Cheatle,Don Cheadle,0.983,TRUE
97,James Woods,James Woods,1,TRUE
98,Daniel Day-Lewis,Daniel Day-Lewis,1,TRUE
99,Tom Hanks,Tom Hanks,1,TRUE
100,Kate Hudson,Kate Hudson,1,TRUE
101,Elliott Gould,Elliott Gould,1,TRUE
102,Jamie Bell,Jamie Bell,1,TRUE
103,Sean Connery,Sean Connery,1,TRUE
104,Michael Douglas,Michael Douglas,1,TRUE
105,Mira Servino,Mira Sorvino,0.942,TRUE
106,Maggie Gyllanhaal,Maggie Gyllenhaal,0.979,TRUE
107,Philip Seymour Hoffmann,Philip Seymour Hoffman,0.999,TRUE
108,Burt Reynolds,Burt Reynolds,1,TRUE
109,Kim basinger,Kim Basinger,1,TRUE
110,Mick nolty,Nick Nolte,0.8,FALSE
111,David spade,David Spade,1,TRUE
112,Jennifer lawrence,Jennifer Lawrence,1,TRUE
113,Tom wilkenson,Tom Wilkinson,0.929,TRUE
114,Julia roberts,Julia Roberts,1,TRUE
115,Danny Glover,Danny Glover,1,TRUE
116,Renee russo,Rene Russo,0.94,TRUE
117,Sylvester stalone,Sylvester Stallone,0.975,TRUE
118,Richard Guere,Richard Gere,0.992,TRUE
119,Oliver platt,Oliver Platt,1,TRUE
120,Liev schriber,Liev Schreiber,0.935,TRUE
121,Matthew broderick,Matthew Broderick,1,TRUE
122,Christopher plummer,Christopher Plummer,1,TRUE
123,Hugh jackman,Hugh Jackman,1,TRUE
124,Jeremy irons,Jeremy Irons,1,TRUE
125,Ed harris,Ed Harris,1,TRUE
126,Beau bridges,Beau Bridges,1,TRUE
127,Helena Bonham Carter,Helena Bonham Carter,1,TRUE
128,Michele phifer,Michelle Pfeiffer,0.888,TRUE
129,Tim robbins,Tim Robbins,1,TRUE
130,Juliane Moore,Julianne Moore,0.986,TRUE
131,Paul Rudd,Paul Rudd,1,TRUE
132,Rachel MacAdams,Rachel McAdams,0.967,TRUE
133,Danny devito,Danny DeVito,1,TRUE
134,Alfred Molina,Alfred Molina,1,TRUE
135,Penelope Cruze,Penelope Cruz,0.998,TRUE
136,Miranda Richardson,Miranda Richardson,1,TRUE
137,Jim.Carrey,Jim Carrey,0.953,TRUE
138,John leguzamo,John Leguizamo,0.953,TRUE
139,Javier bardem,Javier Bardem,1,TRUE
140,Kristin Scott Thomas,Catherine Zeta-Jones,0.522,FALSE
141,Demi moore,Demi Moore,1,TRUE
142,Mark.ruffalo,Mark Ruffalo,0.926,TRUE
143,Will smith,Will Smith,1,TRUE
144,Malcolm mcdowell,Malcolm McDowell,1,TRUE
145,Orlando Bloome,Orlando Bloom,0.998,TRUE
146,Charlie sheen,Charlie Sheen,1,TRUE
147,Mickey Rhoarke,Mickey Rourke,0.969,TRUE
148,Emily blunt,Emily Blunt,1,TRUE
149,Kathy bates,Kathy Bates,1,TRUE
150,Alan akin,Alan Arkin,0.948,TRUE
151,Elizabeth Shue,Elizabeth Perkins,0.922,TRUE
152,Mary louise-parker,Mary-Louise Parker,0.926,TRUE
153,Daryl Hannah,Daryl Hannah,1,TRUE
154,,Tim Blake Nelson,0,FALSE
155,Paul Newman,Paul Newman,1,TRUE
156,Gweneth Paltrow,Gwyneth Paltrow,0.941,TRUE
157,Michael Keaton,Michael Keaton,1,TRUE
158,Goldie Hawn,Goldie Hawn,1,TRUE
159,Nicole Kidman,Nicole Kidman,1,TRUE
160,Iam Holm,Ian Holm,0.933,TRUE
161,Marisa Tomei,Marisa Tomei,1,TRUE
162,Dennis Hopper,Dennis Hopper,1,TRUE
163,Anthony Quinn,Anthony Quinn,1,TRUE
164,Tom Hanks,Tom Hanks,1,TRUE
165,Bill Pullman,Bill Pullman,1,TRUE
166,Al Pacino,Al Pacino,1,TRUE
167,Colin Firth,Colin Firth,1,TRUE
168,Alan Alda,Alan Alda,1,TRUE
169,Naomi  Watts,Naomi Watts,1,TRUE
170,Bridget Fonda,Bridget Fonda,1,TRUE
171,Christian Slater,Christian Slater,1,TRUE
172,Michael Douglas,Michael Douglas,1,TRUE
173,Woody Allen,Woody Allen,1,TRUE
174,Joan Cusack,Joan Cusack,1,TRUE
175,Isabella  Rosellini,Isabella Rossellini,0.982,TRUE
176,Jamie Bell,Jamie Bell,1,TRUE
177,Glenn Close,Glenn Close,1,TRUE
178,Alan Rickman,Alan Rickman,1,TRUE
179,Ryan Reynolds,Ryan Reynolds,1,TRUE
180,Jack Nickelson,Jack Nicholson,0.947,TRUE
181, Hugh Grant,Hugh Grant,1,TRUE
182,Timothy Dalton,Timothy Dalton,1,TRUE
183,Laura Dern,Laura Dern,1,TRUE
184,Sean Penn,Sean Penn,1,TRUE
185,Ben Stiller,Ben Stiller,1,TRUE
186,Leonardo DeCapprio,Leonardo DiCaprio,0.956,TRUE
187,Keifer Sutherland,Kiefer Sutherland,0.982,TRUE
188,Keano Reeves,Keanu Reeves,0.963,TRUE
189,Sarah Jessica Parker,Sarah Jessica Parker,1,TRUE
190,Jack Black,Jack Black,1,TRUE
191,Ewen McGreggor,Ewan McGregor,0.937,TRUE
192,Chevy Chase,Chevy Chase,1,TRUE
193,Jeffery Wright,Jeffrey Wright,0.983,TRUE
194,Jimmy Smiths,Jimmy Smits,0.995,TRUE
195,Meryl Streep,Meryl Streep,1,TRUE
196,Kyle McGloughlan,Kyle MacLachlan,0.86,TRUE
197,Sean Connery,Sean Connery,1,TRUE
198,Daniel Day-Lewis,Daniel Day-Lewis,1,TRUE
199,Chris Cooper,Chris Cooper,1,TRUE
200,James Gandolfini,James Gandolfini,1,TRUE
201,Dan Ackroid,Dan Aykroyd,0.934,TRUE
202,Joe Pecci,Joe Pesci,0.97,TRUE
203,Nicholas Cage,Nicholas Cage,1,TRUE
204,Daniel Radcliffe,Daniel Radcliffe,1,TRUE
205,Sidney Poitier,Sidney Poitier,1,TRUE
206,Brad Pitt,Brad Pitt,1,TRUE
207,Martin Sheen,Martin Sheen,1,TRUE
208,Sally Fields,Sally Fields,1,TRUE
209,Jody Foster,Jodie Foster,0.861,TRUE
210,Juliette Binoche,Juliette Binoche,1,TRUE
211,Danny Davito,Danny DeVito,0.954,TRUE
212,Burt Reynolds,Burt Reynolds,1,TRUE
214,Elizabeth Perkins,Elizabeth Perkins,1,TRUE
213,Kelly MacAdams,Kelly MacDonald,0.924,FALSE
215,Rosie Perez,Rosie Perez,1,TRUE
216,Elen Page,Emma Stone,0.531,FALSE
217,Demi Moore,Demi Moore,1,TRUE
218,Toni Collette,Toni Collette,1,TRUE
219,Jason Bateman,Jason Bateman,1,TRUE
220,Arnold Schwarzenger,Arnold Schwarzenegger,0.988,TRUE
221,Sean Connery,Sean Connery,1,TRUE
222,Michael Shannon,Michael Shannon,1,TRUE
223,Mini Driver,Minnie Driver,0.891,TRUE
224,Rachel MacAdams,Rachel McAdams,0.967,TRUE
225,Penelope Cruz,Penelope Cruz,1,TRUE
226,Clint Eastwood,Clint Eastwood,1,TRUE
227,Mel Gibson,Mel Gibson,1,TRUE
228,Brian Cox,Brian Cox,1,TRUE
229,Alan Arkin,Alan Arkin,1,TRUE
230,Debora  Winger,Debra Winger,0.963,TRUE
231,Kristin Scott  Thomas,Kristin Scott Thomas,1,TRUE
232,John Malcovitch,John Malkovich,0.944,TRUE
233,Rober DeNiro,Robert De Niro,0.969,TRUE
234,Anthony Hopkins,Anthony Hopkins,1,TRUE
235,Christopher Walken,Christopher Walken,1,TRUE
236,Orlando Bloom,Orlando Bloom,1,TRUE
237,Sarah Jesica Parker,Sarah Jessica Parker,0.991,TRUE
238,Johah Hill,Jonah Hill,0.917,TRUE
239,Christian Slater,Christian Slater,1,TRUE
240,Emma Watson,Emma Watson,1,TRUE
241,Miranda Richardson,Miranda Richardson,1,TRUE
242,Ewan McGreggor,Ewan McGregor,0.995,TRUE
243,George Clooney,George Clooney,1,TRUE
244,Liam Neeson,Liam Neeson,1,TRUE
245,Roger Moore,Roger Moore,1,TRUE
246,Kirsten Dunst,Kirsten Dunst,1,TRUE
247,Tommy Lee Jones,Tommy Lee Jones,1,TRUE
248,Joan Cusack,Joan Cusack,1,TRUE
249,Paul Rudd,Paul Rudd,1,TRUE
250,Sidney Poitier,Sidney Poitier,1,TRUE
251,Alfred Molina,Alfred Molina,1,TRUE
252,Mat Daimon,Matt Damon,0.953,TRUE
253,Richard Guere,Richard Gere,0.992,TRUE
254,Laura Dern,Laura Dern,1,TRUE
255,Willem Defo,Willem Dafoe,0.981,TRUE
256,Ben Aflec,Ben Affleck,0.972,TRUE
257,Jon Hamm,Jon Hamm,1,TRUE
258,Mary Steinburgen,Mary Steenburgen,0.946,TRUE
259,Jude Law,Jude Law,1,TRUE
260,Mira Sorvino,Mira Sorvino,1,TRUE
261,Andy Garcia,Andy Garcia,1,TRUE
262,Steve Corell,Steve Carell,0.977,TRUE
263,Kevin Bacon,Kevin Bacon,1,TRUE
264,Daniel Day-Lewis,Daniel Day-Lewis,1,TRUE
265,Isabella Rossillini,Isabella Rossellini,0.977,TRUE
266,Hugh  Jackman,Hugh Jackman,1,TRUE
267,John Hawkes,John Hawkes,1,TRUE
268,Mickey Rhourke,Mickey Rourke,0.99,TRUE
269,Tracy Ullman,Tracey Ullman,0.982,TRUE
270,Martin  Lawrence,Martin Lawrence,1,TRUE
271,Tim Blake Nelson,Tim Blake Nelson,1,TRUE
272,Johny Depp,Johnny Depp,0.981,TRUE
273,Tom Cruise,Tom Cruise,1,TRUE
274,Al Paccino,Al Pacino,0.987,TRUE
275,Timothy Dalton,Timothy Dalton,1,TRUE
276,Candice Burgen,Candice Bergen,0.974,TRUE
277,Jamie Bell,Jamie Bell,1,TRUE
278,Chris Cooper,Chris Cooper,1,TRUE
279,Michelle Phiffer,Michelle Pfeiffer,0.957,TRUE
280,Jeff Bridges,Jeff Bridges,1,TRUE
281,Samuel L. Jackson,Samuel L. Jackson,1,TRUE
282,Amanda Peet,Amanda Peet,1,TRUE
283,John Turtoro,John Turturro,0.966,TRUE
284,Julia Roberts,Julia Roberts,1,TRUE
285,Chevy Chase,Chevy Chase,1,TRUE
286,Oliver Platt,Oliver Platt,1,TRUE
287,Joe Pesci,Joe Pesci,1,TRUE
288,Billy Crystal,Billy Crystal,1,TRUE
289,Macaully  Caulken,Macaulay Culkin,0.932,TRUE
290,Benecio Del Torro,Benicio Del Toro,0.914,TRUE
291,Tea Lenoi,Tea Leoni,0.985,TRUE
292,Francis Mcdormand,Frances McDormand,0.898,TRUE
293,Blair Underwood,Blair Underwood,1,TRUE
294,Mark Whalburg,Mark Wahlberg,0.957,TRUE
295,June Page,Ellen Page,0.778,FALSE
296,Uma Thurmon,Uma Thurman,0.989,TRUE
297,Meryl Streep,Meryl Streep,1,TRUE
298,,Joseph Gordon-Levitt,0,FALSE
299,Paul Dano,Paul Dano,1,TRUE
300,Elen Barken,Ellen Barkin,0.928,TRUE
301,William Hurt,William Hurt,1,TRUE
302,Bill Murray,Bill Murray,1,TRUE
303,David Hasselhoff,David Hasselhoff,1,TRUE
304,Gary Oldman,Gary Oldman,1,TRUE
305,Mathew  Broderick,Matthew Broderick,0.968,TRUE
306,Christoph  Waltz,Christoph Waltz,1,TRUE
307,Marisa Tomei,Marisa Tomei,1,TRUE
308,Helen hunt,Helen Hunt,1,TRUE
309,Eva Mendez,Eva Mendes,0.993,TRUE
310,Kevin Stacey,Kevin Spacey,0.977,TRUE
311,Chris rock,Chris Rock,1,TRUE
312,Jennifer Lawrence,Jennifer Lawrence,1,TRUE
313,Jennifer Sutherland,Kiefer Sutherland,0.907,TRUE
314,Silvestre Stallone,Sylvester Stallone,0.947,TRUE
315,Lib Tyler,Liv Tyler,0.941,TRUE
316,Greg kinder,Greg Kinnear,0.916,TRUE
317,Toby McGuire,Tobey Maguire,0.898,TRUE
318,Kenneth brandish,Kenneth Branagh,0.925,TRUE
319,Val Kilmer,Val Kilmer,1,TRUE
320,Ethan Hawke,Ethan Hawke,1,TRUE
321,Ellen degeneres,Ellen Degeneres,1,TRUE
322,Jessica Chastaine,Jessica Chastain,0.999,TRUE
