answer,correct_answer,score,length
Adam Sandler,Adam Sandler,1.0,12
Adam Sanlder,Adam Sandler,0.92,12
Adrien Brody,Adrien Brody,1.0,12
Adrien Browdy,Adrien Brody,0.96,13
Al Pacino,Al Pacino,1.0,9
Al Pacino,Al Pacino,1.0,9
Alan Alda,Alan Alda,1.0,9
Alan Alda,Alan Alda,1.0,9
Alan Arkin,Alan Arkin,1.0,10
Alan Arkin,Alan Arkin,1.0,10
Alan Rickman,Alan Rickman,1.0,12
Alan Rickman,Alan Rickman,1.0,12
Albert Brooks,Albert Brooks,1.0,13
Albert Brooks,Albert Brooks,1.0,13
Albert Finney,Albert Finney,1.0,13
Albert Finney,Albert Finney,1.0,13
Alec Baldwin,Alec Baldwin,1.0,12
Alec Baldwin,Alec Baldwin,1.0,12
Alfred Molina,Alfred Molina,1.0,13
Alfred yolina,Alfred Molina,0.92,13
Amanda Peet,Amanda Peet,1.0,11
Amanda Peet,Amanda Peet,1.0,11
Amy Adams,Amy Adams,1.0,9
Amy Adams,Amy Adams,1.0,9
Andei MacDowell,Andie MacDowell,0.93,15
Andie MacDowell,Andie MacDowell,1.0,15
Andy Garcia,Andy Garcia,1.0,11
Adny Garcia,Andy Garcia,0.91,11
Angelina Jolie,Angelina Jolie,1.0,14
Angelina Jolie,Angelina Jolie,1.0,14
Anna Paquin,Anna Paquin,1.0,11
Annx Paquin,Anna Paquin,0.91,11
Anne Hathawaxy,Anne Hathaway,0.96,14
Anne Hathaway,Anne Hathaway,1.0,13
Annette Bening,Annette Bening,1.0,14
Annette Bening,Annette Bening,1.0,14
enthony Hopkins,Anthony Hopkins,0.93,15
Anthony Hopkins,Anthony Hopkins,1.0,15
Anthony Quinn,Anthony Quinn,1.0,13
Anthony Quinn,Anthony Quinn,1.0,13
Antonio Banderas,Antonio Banderas,1.0,16
Antonio Banderas,Antonio Banderas,1.0,16
Arnold Schwarzenegger,Arnold Schwarzenegger,1.0,21
Arnold Schwarzenegger,Arnold Schwarzenegger,1.0,21
Barbara Hershey,Barbara Hershey,1.0,15
Barbara Herksey,Barbara Hershey,0.93,15
Beau Bridges,Beau Bridges,1.0,12
Beau Bridges,Beau Bridges,1.0,12
Ben Affleck,Ben Affleck,1.0,11
Ben Affleck,Ben Affleck,1.0,11
Ben Kingsley,Ben Kingsley,1.0,12
Ben Kingsley,Ben Kingsley,1.0,12
Ben Stiller,Ben Stiller,1.0,11
Ben Stiller,Ben Stiller,1.0,11
Benicio Del Toro,Benicio Del Toro,1.0,16
Benicio Del Toro,Benicio Del Toro,1.0,16
Bill Cosby,Bill Cosby,1.0,10
Bill Costy,Bill Cosby,0.9,10
Bill Murray,Bill Murray,1.0,11
Bill Murray,Bill Murray,1.0,11
Blil Pullman,Bill Pullman,0.92,12
Bill Pullman,Bill Pullman,1.0,12
Billy Crystal,Billy Crystal,1.0,13
Billy Crystal,Billy Crystal,1.0,13
Blair Underwood,Blair Underwood,1.0,15
Blair Underwood,Blair Underwood,1.0,15
Blythe Danner,Blythe Danner,1.0,13
Blythe Danner,Blythe Danner,1.0,13
Brad Pitt,Brad Pitt,1.0,9
Brad Pitt,Brad Pitt,1.0,9
Bradley Cooper,Bradley Cooper,1.0,14
Bradley Cooper,Bradley Cooper,1.0,14
Brendan Fraser,Brendan Fraser,1.0,14
Brendna Fraser,Brendan Fraser,0.93,14
Brian Cox,Brian Cox,1.0,9
Brian Cox,Brian Cox,1.0,9
Bridget Fonda,Bridget Fonda,1.0,13
Bridget Fonda,Bridget Fonda,1.0,13
Brooke Shvelds,Brooke Shields,0.93,14
Brooke Shields,Brooke Shields,1.0,14
Bruce Willib,Bruce Willis,0.92,12
Bruce Willis,Bruce Willis,1.0,12
Burt Reoynolds,Burt Reynolds,0.96,14
Burt Reynolds,Burt Reynolds,1.0,13
Cameron Diaz,Cameron Diaz,1.0,12
Cameron Diaz,Cameron Diaz,1.0,12
Candice Bergen,Candice Bergen,1.0,14
Candice Bergen,Candice Bergen,1.0,14
Cate Blanchett,Cate Blanchett,1.0,14
ate Blanchetth,Cate Blanchett,0.93,14
Catherine Keener,Catherine Keener,1.0,16
Catherine Keener,Catherine Keener,1.0,16
Catherine Zeta-Jones,Catherine Zeta-Jones,1.0,20
Caherine eta-Jones,Catherine Zeta-Jones,0.95,18
Charlie Sheen,Charlie Sheen,1.0,13
Cwharlie Sheen,Charlie Sheen,0.96,14
Charlize Theron,Charlize Theron,1.0,15
Charlize Threon,Charlize Theron,0.93,15
Chevy Chase,Chevy Chase,1.0,11
Chevy Chase,Chevy Chase,1.0,11
Chris Cooper,Chris Cooper,1.0,12
Chris Cooper,Chris Cooper,1.0,12
Chris Rock,Chris Rock,1.0,10
Chrsi Rock,Chris Rock,0.9,10
Christian Bale,Christian Bale,1.0,14
Christian Bale,Christian Bale,1.0,14
Christian Slater,Christian Slater,1.0,16
Christian Slater,Christian Slater,1.0,16
Christoph Waltz,Christoph Waltz,1.0,15
Christoph Waltz,Christoph Waltz,1.0,15
Christopher Plummer,Christopher Plummer,1.0,19
Christopher Plummer,Christopher Plummer,1.0,19
Christopher Walken,Christopher Walken,1.0,18
Christopher Walken,Christopher Walken,1.0,18
Clint Eastwood,Clint Eastwood,1.0,14
Clint Eastwsod,Clint Eastwood,0.93,14
Clive Owen,Clive Owen,1.0,10
Clive Owen,Clive Owen,1.0,10
Colin Farrell,Colin Farrell,1.0,13
Colin Farrell,Colin Farrell,1.0,13
Colin Firth,Colin Firth,1.0,11
Colin Firth,Colin Firth,1.0,11
Dan Aykod,Dan Aykroyd,0.9,9
Dan Aykroyd,Dan Aykroyd,1.0,11
Daniel Craig,Daniel Craig,1.0,12
Daniel aig,Daniel Craig,0.91,10
Daniel Day-Lewis,Daniel Day-Lewis,1.0,16
Daniel Day-Leiw,Daniel Day-Lewis,0.9,15
Daniel Radnclilffe,Daniel Radcliffe,0.94,18
Daniel Radcliffe,Daniel Radcliffe,1.0,16
Danny DeVito,Danny DeVito,1.0,12
Danny DeVito,Danny DeVito,1.0,12
Danny Glover,Danny Glover,1.0,12
Danny Glover,Danny Glover,1.0,12
Daryl Hannah,Daryl Hannah,1.0,12
Daryl Hannah,Daryl Hannah,1.0,12
David Duchovny,David Duchovny,1.0,14
DavidDchovny,David Duchovny,0.92,12
David Hasselhoff,David Hasselhoff,1.0,16
David Hasselhoff,David Hasselhoff,1.0,16
David Schwimmer,David Schwimmer,1.0,15
