answer,correct_answer,score
Malcolm macdowel,Malcolm McDowell,0.938
David schwimmer,David Schwimmer,1
Matthew broderick,Matthew Broderick,1
John c Riely,John C. Reilly,0.917
Penelopi Cruze,Penelope Cruz,0.95
Ryan Reynolds,Ryan Reynolds,1
Barbara hershey,Barbara Hershey,1
Jennifer jason Lee,Jennifer Jason Leigh,0.943
Jamie Lee curtis,Jamie Lee Curtis,1
Jeff bridges,Jeff Bridges,1
Renee zelwiger,Renee Zellweger,0.915
Mike Myers,Mike Myers,1
Mel Gibson,Mel Gibson,1
Anette Benning,Annette Bening,0.937
Robert Redfoed,Robert Redford,0.993
Albert Finney,Albert Finney,1
Steve Buschemi,Steve Buscemi,0.993
Kevin Costner,Kevin Costner,1
Ryan Gosling,Ryan Gosling,1
Stanley Tucci,Stanley Tucci,1
Sally Fields,Sally Fields,1
Liev Schreiber,Liev Schreiber,1
Tom Arnold,Tom Arnold,1
Richard Guere,Richard Gere,0.992
Jim Carry,Jim Carrey,0.993
Orlando Bloome,Orlando Bloom,0.998
Bill Murray,Bill Murray,1
Kierra Knightly,Keira Knightley,0.936
John Travolta,John Travolta,1
Peter O'toole,Peter O'toole,1
Kenneth Branaugh,Kenneth Branagh,0.996
Morgan Freeman,Morgan Freeman,1
Rickey Jervais,Ricky Gervais,0.928
Jamie Foxx,Jamie Foxx,1
Daniel Craig,Daniel Craig,1
Orlando Bloome,Orlando Bloom,0.998
Julia Roberts,Julia Roberts,1
Chalize Theron,Charlize Theron,0.982
Danny Devito,Danny DeVito,1
Jenifer Aniston,Jennifer Aniston,0.875
John Travolta,John Travolta,1
Vince Vaughn,Vince Vaughn,1
Laura Dern,Laura Dern,1
Kristen Scott Thomas,Kristin Scott Thomas,0.975
Peter O'tolle,Peter O'toole,0.988
Dan Ackeroid,Dan Aykroyd,0.916
Frank Langella,Frank Langella,1
Blair Underwood,Blair Underwood,1
Brad Pitt,Brad Pitt,1
Colin Firth,Colin Firth,1
Christian Slater,Christian Slater,1
Drew Barrymore,Drew Barrymore,1
Caterine Zeta Jones,Catherine Zeta-Jones,0.957
Sam Shepard,Sam Shepard,1
Brook Shields,Brooke Shields,0.952
Daniel Radcilffe,Daniel Radcliffe,0.993
Toby McGuire,Tobey Maguire,0.898
Alec Baldwin,Alec Baldwin,1
Tia Leoni,Tea Leoni,0.933
Mary Louise Parker,Mary-Louise Parker,0.925
James Gandolfini,James Gandolfini,1
Candice Began,Candice Bergen,0.979
Forest Wittiker,Forest Whitaker,0.959
Kevin James,Kevin James,1
Bridgette Fonda,Bridget Fonda,0.976
Al Pacino,Al Pacino,1
Steve Martin,Steve Martin,1
Anthony Quinn,Anthony Quinn,1
Kirsten Dunst,Kirsten Dunst,1
Anna Paquine,Anna Paquin,0.998
Alan Alda,Alan Alda,1
Ben Stiller,Ben Stiller,1
Christoph Waltz,Christoph Waltz,1
Jason Bateman,Jason Bateman,1
Timmothy Dalton,Timothy Dalton,0.982
Jonah Hill,Jonah Hill,1
